Plant,Disease,Symptom,Cause,Comment,Management
Lemon,Tristeza disease,Light green foliage; poor new growth; leaves may be dropping from tree; young trees blooming early; severely infected trees are stunted and bushy in appearance with chlorotic leaves and brittle twigs; some strains of the virus cause elongated pits in the trunk and branches which give the wood a rope-like appearance.,Virus,Disease spread from infected grafting material or by aphids.,Quarantine procedures are used to control tristeza and prevent the pathogen from entering areas which are currently free of the disease.
Lemon,"Aphids (Black citrus aphid, Brown citrus aphid)",Leaves curling; leaves and twigs covered in sticky substance which may be growing sooty mold; trees may show symptoms of tristeza (see entry); insects are small and soft bodied and are black in color.,Insect,Aphids transmit tristeza virus on citrus.,Aphid numbers tend to naturally decline as leaves harden off but can be a problem on young trees or varieties which continually produce flushes of new growth; pesticides are not generally recommended due to resistance and trees can withstand a high degree of leaf curling.
Lemon,Citrus leaf miner,"Thin, winding trails on leaves; heavy infestation can result in curled and distorted leaves; adult leafminer is a tiny moth which lays its eggs in the leaf; larvae hatch and feed on leaf interior.",Insect,Leaf miners attack flushes of young growth and are unable to enter leaves once they harden.,Insecticide application are rarely warranted in mature orchards as yields are unaffected; young trees should be treated with appropriate insecticides to prevent retarded growth; cultural control methods include removal of water sprouts from trees and refraining from pruning live branches more than once a year to encourage uniform growth flushes which are short in duration.
Lemon,"Soft scales (Black scale, Brown soft scale , Citricolla scale)","Leaves covered in sticky substance and may have growth of sooty mold; reduced tree vigor; leaves and/or fruit dropping from plants; presence of black, brown or gray flattened scales on leaves, twigs and/or branches.",Insects,Insects can produce several overlapping generations per year.,Organically acceptable methods of control include the application of horticultural oils and preservation of natural enemies.
Lemon,Thrips,Insect feeds under sepals of young fruit and causes a ring of scarred tissue as the rind expands; adult thrips are orange-yellow in color.,"Insect
Citrus thrips",Insects overwinter on trees as eggs and can undergo multiple generations per year.,Insecticide application is rarely required as healthy trees can withstand heavy feeding damage; insecticides can actually promote thrips populations by stimulating reproduction.
Lemon grass,Rust,Light yellow spots on foliage; brown elongated streaks on leaves; dark brown pustules on underside of leaves; death of leaves and plant,Fungus,"Spores can survive on lemon grass debris on ground; spread by wind, rain and watersplash",Promote vigorous growth of plants by using mulches and fertilizer to stimulate growth; prune out diseased parts of plants to allow healthy regrowth; avoid overhead irrigation where possible
Lentil,Anthracnose,"Tan lesions with darker borders on leaves which often appear prior to flowering or shortly after bloom; diseased leaves may drop from the plant prematurely; tan to light brown lesions appear on lower stems and begin to spread upwards, appearing higher on the plant; lesions may contain numerous black dots; as plant matures, the lesions expand and may cover large areas of the stem; lesions may also be present on pods and are light to tan brown with a dark margin; diseased pods often produced discolored seeds; disease can cause severe losses in yield",Fungus,Disease emergence is favored by wet conditions; fungus is spread by splashing water; faba beans and filed peas are alternate hosts for the fungus,There are no varieties of lentil which are completely resistant to the disease but some are less susceptible than others and can be planted in areas where disease is prevalent; a well-timed application of an appropriate fungicide may be enough to control the disease but should be reapplied in the event of persistent wet weather
Lentil,Ascochyta blight,"Tan to light brown lesions with a dark border can appear an any aerial part of the plant (leaves, stems, pods, petioles, peduncles); during periods of high humidity, numerous black dots may be visible in the center of the lesions; diseased plants may abort flowers and/or fruits; seeds may be discolored",Fungus,"Disease can be transmitted to seedlings from infected seeds; foliar transmission is favored by cool, moist soils",Plant only disease-free seed or seed treated with a fungicide prior to planting; rotate crop away from lentil for a period of three years; remove and destroy all lentil crop residue after harvest to reduce the levels of inoculum the following growing season; a single application of an appropriate foliar fungicide is usually enough to control the disease but should be reapplied during persistent wet weather
Lentil,Powdery mildew,Yellow spots on upper surface of leaves; powdery gray-white areas which coalesce to cover entire plant; if plant is heavily infected it may appear light blue or gray in color,Fungus,"Fungus overwinters on plant debris or alternate host; disease emergence is favored by warm, dry weather with cool nights that result in dew formation","Plant resistant varieties, particularly if sowing late; use overhead irrigation (washes fungus from leaves and reduces viability); plant crop as early as possible; frequent applications of sulfur may be required to control heavy infestations"
Lentil,Cutworms,"Stems of young transplants or seedlings may be severed  at soil line; if infection occurs later, irregular holes are eaten into the surface of fruits; larvae causing the damage are usually active at night and hide during the day in the soil at the base of the plants or in plant debris of toppled plant; larvae are 2.5–5.0 cm (1–2 in) in length; larvae may exhibit a variety of patterns and coloration but will usually curl up into a C-shape when disturbed",Insects,"Cutworms have a wide host range and attack vegetables including asparagus, bean, cabbage and other crucifers, carrot, celery, corn, lettuce, pea, pepper, potato and tomato","Remove all plant residue from soil after harvest or at least two weeks before planting, this is especially important if the previous crop was another host such as alfalfa, beans or a leguminous cover crop; plastic or foil collars fitted around plant stems to cover the bottom 3 inches above the soil line and extending a couple of inches into the soil can prevent larvae severing plants; hand-pick larvae after dark; spread diatomaceous earth around the base of the plants (this creates a sharp barrier that will cut the insects if they try and crawl over it); apply appropriate insecticides to infested areas of garden or field if not growing organically"
Lentil,Damping-off,"Failure of seedling to emerge; light brown, seedlings with light brown to redwater-soaked roots and stems; collapse of plants; plant dry up and die; stunted plant growth; rotting taproot with few lateral roots",Fungi,Occurs more often in cold temperatures when growth of seedlings is slow and in moist soil,Treat seeds with fungicide prior to planting
Lentil,Fusarium wilt,"Weak and wilting leaf stems, leaves and flowers; lower leaves drying out and dying; leaves turning brown or pale yellow; splitting the stem reveals discoloration of the inner tissue; leaves turn dull yellow in color and collapse; disease appears in fields in patches",Fungus,"Disease emergence favors warm, moist soils; disease can be spread by water splash, movement of infected soil and plants and by infected seed",The primary method of controlling the disease is to use resistant varieties; damage can be reduced by application of appropriate fungicides; crop debris should be removed or plowed deeply into the soil after harvest; if disease is present in the soil then a rotation to a non-host for a period of three years can reduce the levels of inoculum in the soil
Lentil,Gray mold,"Plants turning yellow and wilting; diseased tissue covered with fuzzy gray fungal growth during periods of high humidity; lesions may girdle the stem and cause the upper canopy to die; if the disease does not girdle the stem, the upper leaves remain green and the lower canopy becomes necrotic",Fungus,"Disease emergence is favored by cool, wet conditions and dense canopies which pro,mote high humidity in the lower canopy; disease can be transmitted by infected seed or from infested crop debris from the previos year",Plant only pathogen-free seed or seed treated with an appropriate fungicide prior to planting; avoid planting lentils in fields or areas adjacent to fields which had an outbreak of gray mold the previous year; remove and destroy lentil crop residue after harvest; applications of appropriate fungicides can be helpful for controlling the disease
Lentil,Mosaic,Mottled dark and light green patterns on leaves; leaves may be distorted; yellow dots may be present on leaves; growth of plant may be reduced,Virus,Viruses are transmitted by aphids,Plant virus-free seed; plant resistant varieties
Lentil,Sclerotinia rot,Lesions girdle stem causing upper plant parts to become chlorotic and wilted; plants become necrotic after they die; disease often causes a patchwork of symptomatic plants throughout a field with plants initially becoming chlorotic and finally dying; fungus causes characteristic white lesions on stems which may be covered in a fluffy white growth during periods of wet weather,Fungus,"Disease emergence is favored by cool, wet conditions and a dense canopy which promotes high humidity",A long rotation to small grains can help to reduce the levels of inoculum in the soil; control of the disease using appropriate fungicides can be difficult to achieve as the disease is favored by dense plant canopies which can be hard to penetrate with chemicals
Lettuce,Anthracnose (Shot-hole),Small water-soaked tan spots on outer leaves which may expand and turn straw colored; centers fall out of mature lesions giving plant a shot-hole appearance,Fungus,Fungus survives in crop debris in soil; disease spread by splashing water,Rotate crops; plow crop debris into soil; control wold lettuce populations around plantation; avoid overhead irrigation
Lettuce,Leaf drop (Sclerotinia drop),Wilting of outside leaves which spreads inwards until whole plant is affected; soft watery lesions on leaves; leaves collapse and lie on soil surface; black fungal structures on infected leaf tissue and soil surface,Fungi,Fungi can survive in soil for 8-10 years,Disease significantly reduced by application of fungicides immediately after thinning plants; plow soil deeply; rotate crops with non-hosts
Lettuce,Powdery mildew,"White, powdery fungal growth on the top and underside of older leaves; leaves turning yellow or brown; small black fruiting bodies may be visible",Fungus,Disease emergence favors humid weather conditions; disease can be spread over long distance by wind movements,"Disease can be controlled by application of sulfur at first sign of symptoms, as long as temperatures are high enough"
Lettuce,Septoria leaf spot,"Small, irregularly shaped chlorotic spots on oldest plant leaves which enlarge and turn brown and dry out; lesiuons may fall out of leaves creating holes; leaf spots may have chlorotic halos; if plant is severely infected, lesions may coalesce forming large necrotic patches, wilting leaves and plant death",Fungus,Fungus survives in infected seed and in crop debris; disease spreads in humid or wet conditions; can be spread by splashing water; wild lettuce is an important overwintering site for the fungus,Plant pathogen free seed; plant in areas where Septoria is uncommon; ideal planting sites are in regions with low rainfall; hot water treatment of seeds prior to planting may help reduce levels of disease
Lettuce,Big vein,Veins enlarged and clear; puckered or ruffled leaves; upright outer leaves,Virus,Virus is soil-borne and is introduced to plants via the fungus Olpidium brassicae; disease more prevalent during cool weather,Planting resistant varieties is the best method to control MiLBVV
Lettuce,"Slugs & snails (Gray garden slug, Spotted garden slug, Brown garden snail, European garden snail , etc.)","Irregularly shaped holes in leaves and stems; flowers and fruit may also be damaged if present; if infestation is severe, leaves may be shredded; slime trails present on rocks, walkways, soil and plant foliage; several slug and snail species are common garden pests; slugs are dark gray to black in color and can range in size from 2.5 to 10 cm (1-4 in); garden snails are generally smaller and possess a rounded or spiral shell",Mollusc,"Slugs and snails prefer moist, shaded habitats and will shelter in weeds or organic trash; adults may deposit eggs in the soil throughout the season; damage to plants can be extensive","Practice good garden sanitation by removing garden trash, weeds and plant debris to promote good air circulation and reduce moist habitat for slugs and snails; handpick slugs at night to decrease population; spread wood ashes or eggshells around plants; attract molluscs by leaving out organic matter such as lettuce or grapefruit skins, destroy any found feeding on lure; sink shallow dishes filled with beer into the soil to attract and drown the molluscs; chemical controls include ferrous phosphate for organic gardens and metaldehyde (e.g. Buggeta)  and carbaryl (e.g Sevin bait) for non-organic growers"
Lettuce,Bottom rot,"Small red to brown spots on lower leaves, usually on underside of midrib which may expand rapidly causing the leaves to rot; amber colored liquid may ooze from leaf lesions; as stems rot, head of lettuce becomes slimy and brown and collapse; a tan or brown mycelial growth may be visible in infected tissue",Fungus,"Fungus survives on crop debris in soil; disease emergence favored by warm, wet weather",Disease is most effectively managed by combining cultural control with fungicide application; plow soil before planting; rotate crops regularly; avoid irrigation close to harvest; plant varieties with an erect growth habit to reduce leaf contact with soil; apply appropriate foliar fungicides
Lettuce,Downy mildew,Light green or chlorotic angular lesions on topside of leaves which turn yellow; fluffy white growth on underside of leaves,Fungus,"Disease favors cool, moist conditions; can be spread via infected seed; fungus survives in plant debris and in wild lettuce plants",Disease is controlled primarily by planting resistant varieties and/or by applying appropriate fungicides
"Lime, sour",Anthracnose,Leaves dropping prematurely; leaves covered in dark fungal spores; red to green or black streaks on the mature fruits.,Fungus,Disease emergence favors warm temperatures.,If disease is damaging then appropriate fungicides should be applied to whole tree.
"Lime, sour",Armillaria root rot (Mushroom root rot),Trees may wilt suddenly and collapse or decline slowly; leaves become chlorotic and drop from tree; if large parts of root are destroyed then whole canopy is affected; trunk may have area of rotting bark at the base; lesions on the trunk resemble Phytophthora gummosis; clusters of mushrooms may be present at the bottom of the tree and fan shaped mycelial mats are often present between the bark and the wood.,Fungus,Healthy trees are usually infected by infected pieces of wood or tree stumps which have been left in the ground after an orchard is cleared.,Disease is difficult to control once it becomes established in an orchard; affected trees showing signs of decline should be removed along with as much of the roots system as possible; area where infected tree was should not be replanted with health citrus for a period of at least one year; fumigating soil can help to reduce soil inoculum but is not always completely effective.
"Lime, sour",Black root rot,Small brown-black lesions on roots which may coalesce and turn entire root black; root cortex may slough off to reveal the vascular tissue below; leaves of plant may be chlorotic.,Fungus,Serious disease of glasshouse grown citrus trees; pathogen usually drops to non-damaging levels after tree is transplanted to the field.,Keep glasshouses well lit and warm during winter to encourage vigorous root growth; use good quality potting soil which provides goo aeration.
"Lime, sour",Blast,Water-soaked or black lesions on leaf petioles;which rapidly expand along the leif midrib; cankers on twigs and branches; twigs may be girdles and die; leaves turning black and dying; black lesions may be present on fruit.,Bacterium,"Disease emergence favors wet, cool and windy weather.","In areas where disease is severe, copper fungicides should be applied in Fall and WInter prior to the first rains."
"Lime, sour",Melanose,"Small brown sunken spots which become raised and surrounded by a yellow halo; lesions eventually turn corky in texture; severe infections can cause newly emerging leaves to be crinkled and distorted; if infection of fruit occurs soon after petal fall, the pathogen causes large lesions on the fruit surface which may coalesce to produce large patches; late infection of fruit causes discrete pustules on the fruit.",Fungus,Disease is spread short distance through splashing water or over longer distances by wind.,"If young trees become infected, it is possible to control the disease by pruning but this is not usually feasible for older trees; fungicides must be applied frequently in order to control the disease."
"Lime, sour",Citrus canker,"Raised lesions on leaves, often at leaf margin or tip; lesions may also be present on twigs and fruits; young lesions are usually surrounded by yellow halo; depressed brown craters formed from collapse of lesions.",Bacterium,Can cause serious economic losses to grapefruit crop; bacteria survive in lesions; the main method of spread is via wind driven rain; bacteria may enter through pruning wounds.,"If the disease is introduced to an area, all infected trees should be removed and destroyed; in areas where disease is endemic, windbreaks can help to reduce disease severity; cultural control of the disease should focus on controlling leaf miner populations, utilizing wind breaks and applications of copper sprays."
"Lime, sour","Huanglongbing (Citrus greening, Yellow dragon disease)","Yellowing of one limb or one area of canopy; yellowing of leaf veins; blotchy mottling on leaf blades; twig and limb dieback; fruits dropping prematurely; small upwardly pointing leaves; small, misshapen fruit; fruit very bitter",Bacteria,"History
Origins and spread
Huanglongbing, or citrus greening, was first reported from Southern China in 1919 by American botanist Otto August Reinking who described a “yellow shoot” disease of citrus while evaluating diseases of economic plants in Southern China. A subsequent field survey conducted between 1941 and 1955 on citrus plants in the provinces of Guangdong, Fujian and Jiangx by Chinese plant pathologist Lin Kongxiang (Kung Hsiang) determined that that the disease likely originated in Chaozhou county in Guangdong as early as the 1870s. Lin adopted the name the local farmers had given to the disease of “huang long bing”, which translates to “yellow dragon disease”, a reference to the yellow coloration of new shoots on the infected trees. By 1936 Huanglongbing was considered a serious disease of citrus in China and it subsequently spread across Southeast Asia reaching Indonesia in 1948 and Taiwan in 1950 before spreading to the Philippines, Thailand and Malaysia in the 1950s, 60s and 70s respectively. The disease has been known by various names in different countries - “greening” in South Africa, “mottle leaf” in the Philippines, “dieback” in India and “vein phloem degeneration” in Indonesia - but in 1995 the disease was officially named Huanglongbing by the International Organization of Citrus Virologists (IOCV) and this name is now widely used to describe the disease in Africa, America and Asia. 

Biology and ecology
The organism that causes Huanglongbing is a Gram-negative bacterium that is limited to the plant phloem - the plant system responsible for the delivery of sugars from the leaves to the growing parts of the plant. The bacteria involved have so far not been isolated and cultured but the disease is believed to be caused by bacteria belonging to the genus Candidatus Liberibacter. It is believed that there are at least two different forms of the disease, an African heat-sensitive form, L. africanus which survives in cool areas with temperatures below 30-32 C, and an Asian heat-tolerant form which occurs in areas where temperatures greatly exceed 30C. A third species, L. asiaticus, found in .A third species, L. americanus was detected in citrus trees in Sao Paulo, Brazil but there is presently little information on its climatic requirements. As this species is found in the same areas as L. asiaticus it seems likely that is has similar requirements. 

Transmission
Huanglongbing can be transmitted by citrus psyllids or by grafting. The Asian citrus psyllid, Diaphorina citri is responsible for the spread of the disease in Asia and Oceania, Brazil and North America whereas the African citrus psyllid, Trioza erytreae is the main vector in Africa and Madagascar. Both psyllid species are present the Indian Ocean islands of Reunion and Mauritius,

Citrus psyllids
Citrus psyllids are tiny (3-4 mm) sap-sucking insects that excrete a sticky, sugary substance called honeydew. Both the Asian and African citrus psyllids are mottled brown in color but the Asian citrus psyllid possesses a brown head and the African species has a black head. Adult citrus psyllids will jump and/or fly for a short distance when they are disturbed. They are usually found on the undersides of leaves, often in high numbers. When a psyllid feeds on an infected plant, it acquires the disease after 15 to 30 minutes and feeding and is able to transmit the disease to new hosts after a period of 21 days. In order to transmit the disease successfully, the psyllids need only feed on a new host for a period of 15 minutes in order for successful transmission to occur. It is hypothesized that the bacterium multiplies within the body of the psyllid prior to transmission but this theory requires validation through experiments. 

Grafting
Although the primary method of spread of the Huanglongbing bacterium is via the movement of citrus psyllids, the disease can also be transmitted through grafting practices. The ability of Huanglongbing to be transmitted by grafting was first demonstrated by Lin Kongxiang through experimental work which was published in 1956. The disease in not transmitted at high rates through grafting as as not all buds on infected trees contain the bacterium.","Control (i) Cultural control Once a tree becomes infected with HLB, it cannot be cured. Control is therefore reliant on preventing the disease occurring in the first place and this is achieved through strict quarantining to prevent the introduction of citrus psyllids to areas which are currently free of the pest. Areas which are subject to quarantine have restrictions placed on the movement of citrus plants, fruit, equipment and items made from citrus. Infected trees should be removed as quickly as possible from plantations and destroyed. Identification of infected trees should be achieved through several surveys to ensure that infected trees which are not yet showing symptoms are identified. In Florida, the recommendation is to scout groves at least 4 times a year for disease symptoms. (ii) Control of citrus psyllids Citrus psyllid populations can be controlled through the application of chemical sprays. Insecticides have proved very effective at controlling T. eryreae in South Africa where systemic insecticides are applied to the tree at the base of the trunk. In areas of the USA, Citrus health management areas (CHMAs) have been created to encourage neighbouring growers to work together to prevent the disease. Control strategies which have been implemented by the program include scouting, mapping and large-scale spraying to control citrus psyllids."
"Lime, sour",Tristeza virus,Light green foliage; poor new growth; leaves may be dropping from tree; young trees blooming early; severely infected trees are stunted and bushy in appearance with chlorotic leaves and brittle twigs; some strains of the virus cause elongated pits in the trunk and branches which give the wood a rope-like appearance,Virus,Disease spread from infected grafting material or by aphids,Quarantine procedures are used to control tristeza and prevent the pathogen from entering areas which are currently free of the disease
"Lime, sour",Aphids (Black citrus aphid and Brown citrus aphid),Leaves curling; leaves and twigs covered in sticky substance which may be growing sooty mold; trees may show symptoms of tristeza (see entry); insects are small and soft bodied and are black in color.,Insect,Aphids transmit tristeza virus on citrus.,Aphid numbers tend to naturally decline as leaves harden off but can be a problem on young trees or varieties which continually produce flushes of new growth; pesticides are not generally recommended due to resistance and trees can withstand a high degree of leaf curling.
"Lime, sour",Citrus leaf miner,"Thin, winding trails on leaves; heavy infestation can result in curled and distorted leaves; adult leafminer is a tiny moth which lays its eggs in the leaf; larvae hatch and feed on leaf interior.",Insect,Leaf miners attack flushes of young growth and are unable to enter leaves once they harden.,Insecticide application are rarely warranted in mature orchards as yields are unaffected; young trees should be treated with appropriate insecticides to prevent retarded growth; cultural control methods include removal of water sprouts from trees and refraining from pruning live branches more than once a year to encourage uniform growth flushes which are short in duration.
"Lime, sour","Soft scales (Black scale, Brown soft scale , Citricolla scale)","Leaves covered in sticky substance and may have growth of sooty mold; reduced tree vigor; leaves and/or fruit dropping from plants; presence of black, brown or gray flattened scales on leaves, twigs and/or branches.",Insects,Insects can produce several overlapping generations per year.,Organically acceptable methods of control include the application of horticultural oils and preservation of natural enemies.
"Lime, sour",Thrips,Insect feeds under sepals of young fruit and causes a ring of scarred tissue as the rind expands; adult thrips are orange-yellow in color.,"Insect
Citrus thrips",Insects overwinter on trees as eggs and can undergo multiple generations per year.,Insecticide application is rarely required as healthy trees can withstand heavy feeding damage; insecticides can actually promote thrips populations by stimulating reproduction.
Macadamia,Anthracnose,Black lesions on leaves and fruit; soft black lesions on husks of nuts followed by decay of nuts on the ground; senescent mature nuts may remain attached to the tree; shells of infected husks may turn brown-gray in color but the kernel inside remains unaffected,Fungus,Disease emergence favors high humidity; fungus survives on plant debris; spores are spread by splashing water,Avoid stressing trees by providing them with adequate irrigation and fertilization; prune out dead or dying limbs from tree canopy to reduce levels of disease inoculum; control insect pests to prevent stress to trees
Macadamia,Husk spot,"Initial symptoms of the disease are chlorotic to yellow flecks on the husks which enlarge and develop tan brown centers; lesions coalesce and develop diffuse bright yellow halos; lesions may be covered in powdery gray spore masses during periods of wet weather; lesions mature into tough, woody spots; circular tan spots may develop inside the husk but shells and kernels remain unaffected",Fungus,Yield losses may result in susceptible varieties due to nuts dropping from tree prematurely; spores are spread by water splash from infected husks; diseased husks may produce spores for up to 2 years following infection,If variety of macadamia being grown is susceptible to the disease then an appropriate protective fungicide should be applied to the fruits when they are approximately the size of a match head; remove and old and diseased husks from the tree to reduce inoculum levels
Macadamia,Raceme blight,"Small brown spots on flower petals which spread to racemes (flower stalks); infection may affect small flower buds, florets and rachis; racemes turning black and dying; entire raceme may become blighted within a few days; necrotic flowers remain on tree and become covered in fuzzy gray fungal growth",Fungus,Disease emergence favors wet weather and cool temperatures,Fungicide application is not usually warranted unless infection occurs during wet weather which can cause severe infections
Macadamia,Slow and quick tree decline,"Yellowing or browning of some leaves in the tree canopy; subtle change in color of tree canopy from dark to light green; entire tree turning brown; in final stages of disease, whole tree is brown and distinct from green trees around it; tree death may occur in a few months after initial symptoms have appeared",FungI,,Remove any dead or diseased trees from the orchard; avoid wounding tree trunks
Macadamia,Phytophthora trunk and stem canker,"Nursery trees and young plantations trees are stunted and chlorotic and may be partially defoliated; if lesions girdle the stem then the tree will die; in mature trees, dark discoloration of wood is visible by removing the bark from the trunk of the tree; dark cankers may extend from trunk at soil line to the lower branches of the tree",Oomycete,Fungus survives in plant debris in soil; spread by water splash,Plant only disease-free nursery stock; plant trees in well-draining soils on a slight mound to promote drainage and prevent water-logging; avoid wounds to the trunk of the tree which allow fungi to enter; incorporate organic matter into the soil around the tree; apply appropriate protective fungicides to tree trunks prior to wet season;
Macadamia,Rats,Extensive loss and damage of developing nuts or nuts that have dropped from tree; nuts have holes approximately 1 cm in diameter gnawed through shell to gain access to kernels,Rodents,Encourage predatory birds such as owls by providing nesting boxes in the trees,"All food sources for rats should be removed from the orchard, this includes old nuts, nut waste and wild tobacco; remove any rat nests from trees; keep grass around trees mown short and, if possible, maintain a clear mown area around the orchard to deter rats from entering and to aid predators such as owls in detecting and hunting rats"
Macadamia,Macadamia nut borer,"Entry holes in husks of nuts, usually close to the panicle; holes usually have insect frass protruding from them and husks may have shallow, dimple-like depressions; infested nuts drop from tree prematurely; insect eggs are scale-like and are laid on the surfaces of green husks; larvae are legless grubs which are pinkish in color when mature with dark green spots; adult insect is a red-brown moth",Insect,Larvae pupate in damaged nuts; entire lifecycle of the moth is completed in approximately 5 weeks,"Control of macadamia nut borer can be difficult as insecticides are ineffective once the larvae have entered the nuts; appropriate insecticides should be applied if gren fallen nuts exhibit damage or live, unparasitized eggs are present on the tre; old nuts should be removed from tree and the orchard ground at harvest"
Macadamia,Tropical nut borer,Numerous round holes approximately 0.5 mm in diameter on husks; extensive tunnelling through husk and shell visible when nut is cut open; in late stage infestations the entire kernel may be consumed,Insect,Economic damage is usually incurred if the nuts remain on the ground for a period of three weeks or more before harvest,"Control of the tropical nut borer relies on the use of resistant macadamia varieties and cultural control methods including harvesting nuts at three week intervals immediately removing husks, avoiding varieties prone to sticktight and removing damaged nuts from the orchard; applications of appropriate insecticides may be necessary"
Maize (corn),Anthracnose,"Anthracnose symptoms vary widely depending on numerous factors such as genotype, age of plant and environmental conditions.

- Small oval or elongated water-soaked spots which enlarge up to 15 mm long appear on leaves
- Lesions develop a tan center and red-brown or orange border
- Lesions may coalesce to form large necrotic(dead) patches
- Severely infected leaves on susceptible hybrids may wither and die
- Fungal fruiting bodies develop on dead tissues and may produce pink or orange spore masses
- Top dieback and stalk rot",Fungus,Fungus survives the winter on crop debris. Emergence of disease is favored by high temperatures and extended periods of wet and cloudy weather - seedlings and mature plants are most susceptible to the disease.,Plant hybrids resistant to anthracnose; rotating crops and plowing crop debris into soil may help reduce incidence of early season infections.
Maize (corn),Cercospora leaf spot (Gray leaf spot),"Small necrotic spots with chlorotic halos on leaves which expand to rectangular lesions 1-6 cm in length and 2-4 mm wide; as the lesions mature they turn tan in color and finally gray; lesions have sharp, parallel edges and are opaque; disease can develop quickly causing complete blighting of leaves and plant death.
1. Brown Spots with yellow rings throughout the leaf during the growing period of the Cassava
2. Lesions that are 0.15-0.2 cm in diameter
3. Serious cases can lead to holes throughout the lesions on the leaf",Fungus,Disease emergence is favored in areas where a corn crop is followed by more corn with no rotastion; severity and incidence of disease is likely die to continuous corn culture with minimum tillage and the use of susceptible hybrids in in the midwestern corn belt of the USA; prolonged periods of foggy or cloudy weather can cause severe Cercopora epidemics.,Plant corn hybrids with resistance to the disease; crop rotation and plowing debris into soil may reduce levels of inoculum in the soil but may not provide control in areas where the disease is prevalent; foliar fungicides may be economically viable for some high yeilding susceptible hybrids.
Maize (corn),Charcoal rot,"Symptoms are usually first apparent at the tasseling stage; plant stalks become shredded and pith is completely rotted with stringy strands of vascular tissue left intact; small, black fungal fruiting bodies are visible in the vascular strands and give the tissue a gray coloration; fungus grows into internodes of the stalk causing the plant to ripen early and causing the stalk to weaken; plant may break.",Fungus,Emergence of the disease is favored by warm soils with a low moisture content; fungus overwinters in the soil and can also survive on other host plants which include sorghum and soybean.,There are currently no available fungicides to treat the disease; avoid stressing plants by practicing good water management; rotating crops with small grains may help reduce disease incidence.
Maize (corn),Common rust,"Oval or elongated cinnamon brown pustules on upper and lower surfaces of leaves; pustules rupture and release powdery red spores; pustules turn dark brown-black as they mature and release dark brown powdery spores; if infection is severe, pustules may appear on tassels and ears and leaves may begin to yellow; in partially resistant corn hybrids, symptoms appear as chlorotic or necrotic flecks on the leaves which release little or no spore.",Fungus,Disease is spread by wind-borne spores; some of the most popularly grown sweet corn varieties have little or no resistance to the disease.,"The most effective method of controlling the disease is to plant resistant hybrids; application of appropriate fungicides may provide some degree on control and reduce disease severity; fungicides are most effective when the amount of secondary inoculum is still low, generally when plants only have a few rust pustules per leaf."
Maize (corn),"Common smut (Boil smut, Blister smut)","Tumor-like galls on plant tissues which are initially green-white or silvery white in color; interior of galls darken and turn into masses of powdery dark brown or black spores (with the exception of galls on leaves which remain greenish in color); galls may reach up to 15 cm in diameter and are common on ears, tassels, shoots or midrib of leaves; galls on leaves remain small and do not burst open.",Fungus,"Fungus overwinters on crop debris or in the soil and can survive for several years; fungus usually enters the plant through wounds; application of nitrogen fertilizer increases incidence of disease, while application of phosphorous fertilizer decreases infection.","Although many practices may be recommended for the control of common smut, the only method that is completely effective is to grow resistant corn hybrids."
Maize (corn),Downy Mildew disease,"Symptoms of all maize downy mildew pathogens are similar although may vary depends on cultivar, age and climate. The disease appear as early from two weeks after sowing resulting in chlorosis and stunting. In older plants the leaves shows mottling, chlorotic streaking and lesions and white striped leaves. Usually the leaves are narrower and more erect when compare to healthy plants and are covered with a white, downy growth on both surfaces.",Fungus,The disease is both air and seed born. The pathogen have several alternative hosts.,Grow available resistant varieties and hybrids. Follow crop rotation with non host crops. Use suitable systemic fungicide for both seed treatment and foliar spray. Keep the fields free from weeds. Drying seeds before sowing reduces the disease incidence.
Maize (corn),Giberrella stalk and ear rot,"Plants wilting and leaves changing color from light to dull green; lower stalk turns straw yellow; internal stalk tissue breaks down; interior of stalk has a red discoloration; black fungal fruiting bodies may be visible on the stalk, often at internodes, and can be easily scraped off; if fungal infection affects the ears, it produces a red mold at the tips of the ear which spreads down; early infection may result in the ear being covered in pink mycelium which causes the corn husk to adhere to the ear.",Fungus,Fungus can enter through wounds to stalk or ear; ear rot is caused by the fungus infecting silks and moving down through the ear; fungus survives on corn debris in soil and on debris of other host plants such as wheat.,"Stressed plants are more susceptible to Gibberella - providing adequate fertilization and irrigation can help reduce incidence of disease; control insects, especially stem and ear borers; hybrids differ in their susceptibility to the disease and further information is required in order to develop specific control measures."
Maize (corn),Northern Leaf Blight,"In the beginning we will notice elliptical gray-green lesions on leaves. As the disease process this lesions become pale gray to tan color. Later stage the lesions looks dirty due to dark gray spores particularly under lower leaf surface. The disease can be easily identified in the field due to its long, narrow lesions which are unrestricted by veins.",Fungus,The disease mainly spread through rain splash and wind.,Follow proper tillage to reduce fungus inoculum from crop debris. Follow crop rotation with non host crop. Grow available resistant varieties. In severe case of disease incidence apply suitable fungicide.
Maize (corn),Southern corn leaf blight,"Foliar symptoms vary with hybrid and different fungal isolate; lesions on leaves may be tan and elongated and run between leaf veins; lesions may have a buff or brown colored margin; another race of the fungus causes tan, spindle shaped or elliptical lesions with a water-soaked margin that turns into a yellow halo.",Fungus,"Fungus overwinters in corn debris in soil; disease occurs worldwide but is emergence favors areas with a warm, damp climate.",The most effective method of controlling the disease is to plant resistant hybrids; cultural control methods include plowing crop debris into soil after harvest and rotating crops.
